[Starting] Opening the serial port - COM14
[Info] Opened the serial port - COM14
---BEGIN---
TIME	INPUT	OUTPUT	TS	GRADIENT
114365	1	148.25	253	0.00
114617	1	148.25	252	0.00
114870	1	149.00	253	0.00
115123	1	149.00	253	0.00
115375	1	150.00	252	0.00
115628	1	150.25	253	0.00
115880	1	150.75	252	0.00
116132	1	151.00	252	0.00
116385	1	151.75	253	0.00
116637	1	152.00	252	0.00
116890	1	152.50	253	0.00
117143	1	153.00	253	0.00
117395	1	153.25	252	0.00
117648	1	153.75	253	0.00
117901	1	154.00	253	0.00
118153	1	154.50	252	0.00
118406	1	155.00	253	0.00
118658	1	155.50	252	0.00
118910	1	156.00	252	0.00
119163	1	156.50	253	0.00
119415	1	156.75	252	0.00
119668	1	157.25	253	0.00
119921	1	157.75	253	0.00
120173	1	158.00	252	0.00
120426	1	158.75	253	0.00
120678	1	158.75	252	0.00
120931	1	159.50	253	0.00
121184	1	159.00	253	-0.00
121436	1	160.25	252	0.00
121689	1	160.25	253	0.00
121942	1	160.75	253	0.00
122193	1	161.25	251	0.00
122446	1	161.75	253	0.00
122698	1	162.25	252	0.00
122951	1	162.00	253	-0.00
123204	1	163.25	253	0.00
123456	1	163.50	252	0.00
123709	1	163.75	253	0.00
123962	1	163.75	253	0.00
124214	1	164.75	252	0.00
124467	1	164.75	253	0.00
124719	1	165.75	252	0.00
124972	1	166.00	253	0.00
125224	1	166.25	252	0.00
125476	1	166.50	252	0.00
125729	1	167.25	253	0.00
125982	1	168.00	253	0.00
126234	1	168.00	252	0.00
126487	1	168.25	253	0.00
126739	1	168.75	252	0.00
126992	1	169.00	253	0.00
127245	1	169.25	253	0.00
127497	1	170.25	252	0.00
127750	1	170.25	253	0.00
128002	1	170.50	252	0.00
128254	1	171.25	252	0.00
128507	1	171.75	253	0.00
128759	1	172.00	252	0.00
129012	1	172.50	253	0.00
129265	1	172.75	253	0.00
129517	1	173.25	252	0.00
129770	1	173.75	253	0.00
130022	1	173.50	252	-0.00
130275	1	174.25	253	0.00
130528	1	174.75	253	0.00
130780	1	175.00	252	0.00
131033	1	176.00	253	0.00
131286	1	176.00	253	0.00
131537	1	176.25	251	0.00
131790	1	177.00	253	0.00
132042	1	177.25	252	0.00
132295	1	177.50	253	0.00
132548	1	177.75	253	0.00
132800	1	178.25	252	0.00
133053	1	178.75	253	0.00
133306	1	179.00	253	0.00
133558	1	179.25	252	0.00
133811	1	180.00	253	0.00
134063	1	180.00	252	0.00
134316	1	181.00	253	0.00
134568	1	181.25	252	0.00
134820	1	181.75	252	0.00
135073	1	182.25	253	0.00
135326	1	182.25	253	0.00
135578	1	183.00	252	0.00
135831	1	183.25	253	0.00
136083	1	183.75	252	0.00
136336	1	184.00	253	0.00
136589	1	184.25	253	0.00
136841	1	184.50	252	0.00
137094	1	185.00	253	0.00
137347	1	186.00	253	0.00
137598	1	186.25	251	0.00
137851	1	186.25	253	0.00
138103	1	187.00	252	0.00
138356	1	187.50	253	0.00
138609	1	187.75	253	0.00
138861	1	188.00	252	0.00
139114	1	188.00	253	0.00
139366	1	189.00	252	0.00
139619	1	189.00	253	0.00
139872	1	189.75	253	0.00
140124	1	190.25	252	0.00
140377	1	190.50	253	0.00
140630	1	190.75	253	0.00
140881	1	191.00	251	0.00
141134	1	191.75	253	0.00
141386	1	191.50	252	-0.00
141639	1	192.00	253	0.00
141892	1	192.75	253	0.00
142144	1	193.00	252	0.00
142397	1	193.75	253	0.00
142650	1	194.00	253	0.00
142902	1	194.50	252	0.00
143155	1	194.75	253	0.00
143407	1	195.25	252	0.00
143660	1	195.50	253	0.00
143912	1	196.00	252	0.00
144164	1	196.25	252	0.00
144417	1	196.75	253	0.00
144670	1	197.25	253	0.00
144922	1	197.75	252	0.00
145175	1	198.00	253	0.00
145427	1	198.25	252	0.00
145680	1	198.75	253	0.00
145933	1	199.00	253	0.00
146185	1	199.50	252	0.00
146438	1	200.00	253	0.00
146691	1	200.00	253	0.00
146942	1	200.25	251	0.00
147195	1	201.25	253	0.00
147447	1	201.25	252	0.00
147700	1	201.00	253	-0.00
147953	1	202.25	253	0.00
148205	1	202.25	252	0.00
148458	1	203.00	253	0.00
148711	1	203.50	253	0.00
148963	1	203.75	252	0.00
149216	1	204.50	253	0.00
149468	1	204.00	252	-0.00
149721	1	205.00	253	0.00
149974	1	205.00	253	0.00
150225	1	205.75	251	0.00
150478	1	206.00	253	0.00
150730	1	206.25	252	0.00
150983	1	206.50	253	0.00
151236	1	207.00	253	0.00
151488	1	207.25	252	0.00
151741	1	207.50	253	0.00
151994	1	208.00	253	0.00
152246	1	209.00	252	0.00
152499	1	209.50	253	0.00
152751	1	209.50	252	0.00
153004	1	209.50	253	0.00
153256	1	210.25	252	0.00
153508	1	210.25	252	0.00
153761	1	211.00	253	0.00
154014	1	211.25	253	0.00
154266	1	211.25	252	0.00
154519	1	212.00	253	0.00
154771	1	212.50	252	0.00
155024	1	213.00	253	0.00
155277	1	213.25	253	0.00
155529	1	213.50	252	0.00
155782	1	214.00	253	0.00
156035	1	214.50	253	0.00
156286	1	214.50	251	0.00
156539	1	215.25	253	0.00
156791	1	215.75	252	0.00
157044	1	215.50	253	-0.00
157297	1	216.25	253	0.00
157549	1	216.50	252	0.00
