[Starting] Opening the serial port - COM14
[Info] Opened the serial port - COM14
---BEGIN---
TIME	INPUT	OUTPUT1	OUTPUT2	TS	GRADIENT
327840	1	406.25	35.81	536	0.00140
328377	1	407.00	35.88	537	0.00140
328913	1	407.25	35.94	536	0.00047
329450	1	408.00	36.00	537	0.00140
329987	1	408.50	36.00	537	0.00093
330522	1	409.00	36.06	535	0.00093
331059	1	409.50	36.13	537	0.00093
331595	1	409.75	36.19	536	0.00047
332132	1	410.00	36.19	537	0.00047
332668	1	411.25	36.25	536	0.00233
333205	1	411.75	36.38	537	0.00093
333742	1	412.00	36.38	537	0.00047
334278	1	412.50	36.44	536	0.00093
334815	1	413.00	36.44	537	0.00093
335351	1	413.25	36.56	536	0.00047
335887	1	414.25	36.56	536	0.00187
336423	1	414.50	36.63	536	0.00047
336960	1	415.25	36.69	537	0.00140
337497	1	416.00	36.75	537	0.00140
338033	1	416.00	36.75	536	0.00000
338570	1	417.00	36.88	537	0.00186
339106	1	417.25	36.88	536	0.00047
339643	1	417.75	36.94	537	0.00093
340179	1	418.25	37.00	536	0.00093
340716	1	419.00	37.06	537	0.00140
341253	1	419.50	37.06	537	0.00093
341789	1	419.75	37.19	536	0.00047
342326	1	420.50	37.19	537	0.00140
342863	1	418.75	37.25	537	-0.00326
343400	1	419.25	37.31	537	0.00093
343937	1	420.25	37.44	537	0.00186
344473	1	420.25	37.44	536	0.00000
345010	1	421.50	37.50	537	0.00233
345546	1	421.75	37.63	536	0.00047
346083	1	422.25	37.69	537	0.00093
346619	1	423.00	37.75	536	0.00140
347157	1	423.50	37.88	538	0.00093
347694	1	424.00	37.94	537	0.00093
348230	1	424.50	38.00	536	0.00093
348767	1	425.00	38.06	537	0.00093
349303	1	426.00	38.13	536	0.00187
349841	1	426.50	38.19	538	0.00093
350377	1	427.00	38.31	536	0.00093
350914	1	427.50	38.31	537	0.00093
351451	1	427.75	38.38	537	0.00047
351988	1	429.25	38.44	537	0.00279
352525	1	429.75	38.44	537	0.00093
353061	1	430.00	38.50	536	0.00047
353599	1	431.25	38.56	538	0.00232
354136	1	431.75	38.63	537	0.00093
